P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S01	S02	S13	0.0580357	0.362498	0.71698	3.22722e-05	100046	59.25	52.75
S02	S01	S14	0.0406504	0.330948	0.740684	4.42957e-05	93964.2	100	92.1875
S02	S01	S15	0.0821918	0.566236	0.571233	4.48617e-05	100057	59.25	50.25
S02	S01	S16	0.0440529	0.316229	0.751829	2.49228e-05	100027	59.25	54.25
S02	S01	S17	0.153846	0.940026	0.347204	4.88421e-05	103923	37.5	27.5
S02	S01	S18	0.153846	0.940026	0.347204	4.88024e-05	103906	37.5	27.5
S02	S01	S19	0.153846	0.940026	0.347204	4.8713e-05	103906	37.5	27.5
S03	S04	S01	0.0105651	0.294081	0.768696	9.60344e-05	53553.4	463.312	453.625
S01	S03	S05	0.138965	2.24416	0.0248218	0.000293077	71975.4	209	158
S01	S03	S06	0.10221	1.43571	0.151085	0.000213383	72029.4	199.5	162.5
S01	S03	S07	0.099723	1.38343	0.166533	0.000208026	71993.4	198.5	162.5
S01	S03	S08	0.104222	1.4908	0.136015	0.000229082	71894.1	209.25	169.75
S01	S03	S09	0.0602172	0.67234	0.501367	8.5051e-05	78697.4	134.25	119
S01	S03	S10	0.0597156	0.702633	0.482284	8.77263e-05	78723.4	139.75	124
S01	S03	S11	0.0686901	0.769849	0.441389	9.35065e-05	82914.1	125.438	109.312
S03	S01	S12	0.156187	1.50347	0.132719	0.000104432	100709	71.25	52
S03	S01	S13	0.122363	1.00116	0.31675	7.19866e-05	99975.1	66.5	52
S03	S01	S14	0.0707136	0.885485	0.375895	7.76033e-05	93882.9	103.625	89.9375
S03	S01	S15	0.186147	1.37	0.170688	0.000107163	99981.6	68.5	47
S03	S01	S16	0.151261	1.1899	0.234087	8.97164e-05	99950.9	68.5	50.5
S03	S01	S17	0.19697	1.27756	0.201404	6.34938e-05	103840	39.5	26.5
S03	S01	S18	0.179104	1.14834	0.250829	5.85623e-05	103823	39.5	27.5
